Section,Region,District,Chiefdom,Location,Facility,Type,InCharge,Contact,Year,Month,AllOut,Suspected,Tested,Confirmed,Treated,Presumed,ThresholdAllOut,ThresholdSuspected,ThresholdTested,ThresholdConfirmed,ThresholdTreated,ThresholdPresumed,LowerBoundAllOut,UpperBoundAllOut,LowerBoundSuspected,UpperBoundSuspected,LowerBoundTested,UpperBoundTested,LowerBoundConfirmed,UpperBoundConfirmed,LowerBoundTreated,UpperBoundTreated
Region,Southern,Bo District,Bo City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Badjia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Bagbwe Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Baoma Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Bargbo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Bongor Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Bumpe Ngao Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Gbo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Jaiama Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Kakua Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Komboya Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Lugbu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Niawa Lenga Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Selenga Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Tikonko Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Valunia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bo District,Wonde Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Biriwa Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Bombali Sebora Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Bombali Serry Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Gbanti (Bombali) Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Gbendembu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Kamaranka Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Magbaimba Ndohahun Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Makarie Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Mara Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Ngowahun Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Paki Masabong Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Safroko Limba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Bombali District,Makeni City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Bendu-Cha Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Bum Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Dema Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Imperi Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Jong Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Kpanda Kemoh Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Kwamebai Krim Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Nongoba Bullom Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Sittia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Sogbini Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Yawbeko Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Southern,Bonthe District,Bonthe Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Barawa Wollay Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Delmandugu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Dembelia-Sinkunia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Folosaba Dembelia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Folosaba Kamba Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Kabelia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Kamadugu Yiraia Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Kulor Saradu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Mongo Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Northern,Falaba District,Morifindu Chiefdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
